age;iso0;iso1;iso2;iso3;iso4;iso5;iso6;iso7;iso8;iso9;iso10;iso11
65;.9469126;.0175565;.003656;0;0;.0102034;.0091422;0;0;.0125292;0;0
66;.945227;.018114;.0037721;0;0;.0105273;.0094325;0;0;.012927;0;0
67;.9440228;.0185122;.003855;0;0;.0107588;.0096399;0;0;.0132112;0;0
68;.9415749;.0193217;.0040236;0;0;.0112293;.0100614;0;0;.013789;0;0
69;.9404581;.0196911;.0041005;0;0;.0114439;.0102538;0;0;.0140526;0;0
70;.9383842;.0203769;.0042434;0;0;.0118425;.0106109;0;0;.014542;0;0
71;.9367835;.0209063;.0043536;0;0;.0121502;.0108866;0;0;.0149198;0;0
72;.9309788;.022826;.0047534;0;0;.0132658;.0118862;0;0;.0162898;0;0
73;.9260637;.0244515;.0050919;0;0;.0142105;.0127327;0;0;.0174498;0;0
74;.9205095;.0262883;.0054744;0;0;.015278;.0136892;0;0;.0187607;0;0
75;.9146323;.0282319;.0058791;0;0;.0164076;.0147013;0;0;.0201478;0;0
76;.8979539;.0281697;.0152086;.0029171;.0309182;.0021222;.0019015;.0119759;0;0;0;.008833
77;.8830999;.0253358;.0147728;.0067464;.0371829;.0039265;.0052773;.0055394;.0140335;0;0;.0040857
78;.830066;.0223316;.013613;.0064329;.035295;.0093602;.0059201;.0124284;.0118072;.0027045;.0179578;.0320834
79;.8421265;.0218987;.0124056;.0107365;.0393678;.0071777;.0041614;.0142957;.0090542;.0036293;0;.0351466
80;.8165822;.019289;.0144723;.0116321;.0437118;.0073086;.0048252;.0217069;.0109984;.0033064;.0125458;.0336213
81;.8280709;.0183209;.012463;.0150826;.0325757;.0115941;.0100173;.0163565;.0236786;.0025423;0;.0292982
82;.7631488;.0170839;.0100239;.0129177;.0560399;.0126762;.0093997;.0172666;.0218715;.0037573;.0285126;.047302
83;.7679349;.0157094;.0094698;.0132098;.0588049;.0144156;.0099026;.0244045;.0206088;.0035403;0;.0619994
84;.7156197;.0146725;.0077235;.0132946;.0724684;.0160281;.0128756;.0249511;.0355562;.0047508;.036052;.0460074
85;.7451702;.0135544;.0063145;.0128928;.0662556;.0130749;.0183368;.0384953;.0203174;.0111689;0;.0544192
86;.6545459;.0127338;.006814;.0108161;.0687843;.0118034;.0188016;.0296033;.0328111;.007247;.064161;.0818785
87;.7418415;.0133497;.0077306;.0132938;.0737026;.0126474;.0173314;.0251894;.0265895;.0063949;0;.0619292
88;.6728518;.0100003;.00686;.0148024;.0534595;.0111679;.0293048;.0315107;.0684249;.0058773;.0260171;.0697233
89;.6149055;.0084204;.0061372;.0117714;.0723646;.0111332;.0222527;.0193309;.0979454;.0115678;.0279313;.0962395
90;.5063373;.007946;.0053777;.007141;.0773697;.0092359;.0279296;.0325744;.0825238;.0056706;.1129606;.1249333
91;.5629258;.0061201;.0034694;.0142595;.0725464;.012449;.0260268;.0156112;.0988735;.0101912;.0451135;.1324137
92;.4961248;.0048224;.0041006;.0089887;.0523995;.0098092;.0278321;.055354;.093489;.0100377;.0533208;.1837214
93;.4854988;.0055329;.0043993;.004219;.0655859;.0122777;.0293356;.1154732;.0731348;.0100509;.0667391;.1277528
94;.3918968;.0060217;.0039013;.0093535;.0634486;.0108878;.039022;.0614406;.05837;.0100273;.2663274;.0793034
95;.6575225;.005036;.0044046;.0084482;.0238784;.0245852;.0330426;.0231227;.0292894;.0201263;0;.170544
96;.6120961;.0047387;0;.0088327;.0187238;.0128521;.0633352;0;.137801;.0078909;0;.1337293
97;.556345;.0044274;.0032269;0;.0524808;.0180114;.0484149;0;.2574937;.0221172;0;.0374828
98;.5255601;.0052226;0;0;.0928603;0;.0380738;.0599477;0;.0130448;0;.2652906
99;.5025466;0;.0071732;.0137584;0;0;.0538115;.1129692;.1430978;0;0;.1666434
100;.2931057;0;0;0;0;.0151672;.0135899;0;.3252492;.0372492;0;.3156388
